Applicant_ID,Month,Annual_Income,Employment_Status,House_Status,Employment_History_Years,Online_Spending_Behavior_Score,Utility_Bill_Payment_Score,Number_of_Open_Accounts,Monthly_Debt,Credit_History_Years,Food_Expense,Transportation_Expense,Home_Utility_Expense,Shopping_Expense,Environmental_Spending,Loan_Amount_Requested,Loan_Term,Purpose,Approval_Status,Defaulted,Number_of_Delinquencies,Days_Late
1,1,68000,part time,Own,8,59,72,15,1694.650794,20,934.9693894,546.9988848,334.5349461,1675.623182,377.3164466,28787.81897,21,Major Purchase,Approved,0,1,0
1,2,68000,part time,Own,8,59,72,15,1694.650794,20,1440.777849,408.959096,600.4936145,1937.372496,441.1519543,28787.81897,10,Home Improvement,Approved,0,3,0
1,3,68000,part time,Own,8,59,72,15,1694.650794,20,447.9939282,536.9303817,404.3970721,698.0065357,62.32001369,28787.81897,16,Medical Expenses,Approved,1,1,88
1,4,68000,part time,Own,8,59,72,15,1694.650794,20,1717.952932,1399.549535,498.9833688,856.0523897,250.7091844,28787.81897,11,Home Improvement,Rejected,0,5,0
1,5,68000,part time,Own,8,59,72,15,1694.650794,20,351.8133341,582.3089293,280.3001054,864.0544418,161.3759139,28787.81897,14,Home Improvement,Approved,0,0,0
1,6,68000,part time,Own,8,59,72,15,1694.650794,20,607.576164,306.9553241,307.5151604,901.4153791,151.7897995,28787.81897,18,Home Improvement,Approved,0,3,0
1,7,68000,part time,Own,8,59,72,15,1694.650794,20,1351.737453,412.4374235,808.2800712,1142.100674,246.141748,28787.81897,23,Debt Consolidation,Approved,0,4,0
1,8,68000,part time,Own,8,59,72,15,1694.650794,20,458.2335872,628.8805462,438.9898243,459.4627683,135.9745539,28787.81897,7,Medical Expenses,Approved,0,0,0
1,9,68000,part time,Own,8,59,72,15,1694.650794,20,862.8470907,414.5745576,417.173708,2207.524499,119.0874356,28787.81897,19,Medical Expenses,Rejected,0,2,0
1,10,68000,part time,Own,8,59,72,15,1694.650794,20,521.0495987,238.0218398,610.0245215,603.5138556,91.95186151,28787.81897,23,Medical Expenses,Rejected,0,5,0
1,11,68000,part time,Own,8,59,72,15,1694.650794,20,546.9900672,192.9923822,195.2272008,390.6994839,44.57052161,28787.81897,22,Medical Expenses,Rejected,0,5,0
1,12,68000,part time,Own,8,59,72,15,1694.650794,20,895.3890019,742.0296019,328.3197891,1019.399916,216.008768,28787.81897,21,Home Improvement,Approved,0,5,0
2,1,84000,part time,Rented,16,1,11,5,2927.401476,7,371.5867704,92.53943316,171.3382855,408.9678989,130.7745955,20135.19582,18,Medical Expenses,Approved,0,1,0
2,2,84000,part time,Rented,16,1,11,5,2927.401476,7,1226.130143,701.3177526,307.1393793,958.6865667,103.9228148,20135.19582,22,Debt Consolidation,Approved,0,5,0
2,3,84000,part time,Rented,16,1,11,5,2927.401476,7,482.2385574,206.1377269,496.2650869,1048.525239,265.2786824,20135.19582,11,Home Improvement,Approved,1,5,79
2,4,84000,part time,Rented,16,1,11,5,2927.401476,7,1362.346785,782.4205465,359.7517251,914.2082692,89.3147392,20135.19582,9,Home Improvement,Rejected,0,1,0
2,5,84000,part time,Rented,16,1,11,5,2927.401476,7,590.8820318,331.9747242,237.4338219,434.1121948,83.29027048,20135.19582,23,Debt Consolidation,Approved,0,4,0
2,6,84000,part time,Rented,16,1,11,5,2927.401476,7,1088.433554,815.3640938,292.9386764,1307.705071,134.3582882,20135.19582,19,Debt Consolidation,Rejected,0,2,0
2,7,84000,part time,Rented,16,1,11,5,2927.401476,7,389.3009393,303.4957159,139.277937,394.641342,61.5849512,20135.19582,6,Medical Expenses,Rejected,0,0,0
2,8,84000,part time,Rented,16,1,11,5,2927.401476,7,1304.437975,379.5797873,616.352155,1079.032495,225.7042642,20135.19582,16,Major Purchase,Approved,0,0,0
2,9,84000,part time,Rented,16,1,11,5,2927.401476,7,1099.845319,474.5599881,513.446566,1009.028641,83.5073003,20135.19582,11,Major Purchase,Approved,0,0,0
2,10,84000,part time,Rented,16,1,11,5,2927.401476,7,885.0362753,283.7735383,343.7726871,451.6396362,309.4006184,20135.19582,11,Medical Expenses,Approved,1,5,33
2,11,84000,part time,Rented,16,1,11,5,2927.401476,7,939.1210845,375.9291517,213.8996147,1110.27397,104.2420497,20135.19582,16,Debt Consolidation,Approved,0,5,0
2,12,84000,part time,Rented,16,1,11,5,2927.401476,7,1147.913871,708.3251832,527.5916218,1421.235123,497.3666699,20135.19582,16,Medical Expenses,Rejected,0,2,0
3,1,44000,part time,Own,10,11,32,8,1802.633879,17,523.3346871,299.4107443,317.1225188,827.6985892,44.74478267,2816.339167,10,Home Improvement,Approved,0,0,0
3,2,44000,part time,Own,10,11,32,8,1802.633879,17,581.6562615,276.9499525,237.9328014,704.5824514,44.87378178,2816.339167,9,Home Improvement,Approved,0,1,0
3,3,44000,part time,Own,10,11,32,8,1802.633879,17,715.1128587,1120.092116,897.3836125,945.463992,593.9253325,2816.339167,6,Medical Expenses,Rejected,0,4,0
3,4,44000,part time,Own,10,11,32,8,1802.633879,17,509.7768689,161.8194921,150.4876431,394.9460571,88.3532226,2816.339167,12,Major Purchase,Approved,0,5,0
3,5,44000,part time,Own,10,11,32,8,1802.633879,17,989.8120916,710.8938907,462.7345841,1111.674256,57.91301087,2816.339167,8,Major Purchase,Approved,0,0,0
3,6,44000,part time,Own,10,11,32,8,1802.633879,17,1824.890519,393.4153084,541.3764675,1768.173062,333.2743061,2816.339167,12,Medical Expenses,Rejected,0,4,0
3,7,44000,part time,Own,10,11,32,8,1802.633879,17,353.5230039,442.3731303,257.2457392,914.6612111,50.33746636,2816.339167,11,Debt Consolidation,Approved,0,5,0
3,8,44000,part time,Own,10,11,32,8,1802.633879,17,826.7702525,610.6791856,374.9220589,1755.34635,466.4330543,2816.339167,7,Major Purchase,Approved,0,0,0
3,9,44000,part time,Own,10,11,32,8,1802.633879,17,458.7041183,190.5942272,117.8527297,264.0674857,141.2039429,2816.339167,20,Medical Expenses,Rejected,0,1,0
3,10,44000,part time,Own,10,11,32,8,1802.633879,17,801.6158693,584.2227447,761.5516227,1697.509107,122.0157892,2816.339167,6,Major Purchase,Rejected,0,2,0
3,11,44000,part time,Own,10,11,32,8,1802.633879,17,1084.96737,557.3663037,432.5865163,1407.086585,81.2121832,2816.339167,15,Debt Consolidation,Approved,1,4,68
3,12,44000,part time,Own,10,11,32,8,1802.633879,17,644.2987028,293.8654372,249.1282735,497.1405127,283.2388172,2816.339167,24,Home Improvement,Rejected,1,4,71
4,1,93000,full time,Own,3,65,67,6,1236.013003,5,470.4219765,127.9762711,294.2345237,472.0355073,182.4046409,21829.73058,20,Major Purchase,Rejected,0,2,0
4,2,93000,full time,Own,3,65,67,6,1236.013003,5,399.4230379,398.163876,143.9667019,470.9088854,119.2610022,21829.73058,6,Debt Consolidation,Approved,0,4,0
4,3,93000,full time,Own,3,65,67,6,1236.013003,5,237.9433554,87.73692471,151.4563127,475.279356,108.8899229,21829.73058,9,Home Improvement,Rejected,0,4,0
4,4,93000,full time,Own,3,65,67,6,1236.013003,5,486.8552725,119.0336025,128.2230353,400.4100363,178.6029764,21829.73058,23,Major Purchase,Rejected,0,5,0
4,5,93000,full time,Own,3,65,67,6,1236.013003,5,687.5958764,438.2496409,255.2311837,495.0488933,311.5492159,21829.73058,8,Home Improvement,Approved,0,5,0
4,6,93000,full time,Own,3,65,67,6,1236.013003,5,281.1186999,283.2547872,114.9031743,194.1185977,44.37665079,21829.73058,9,Medical Expenses,Rejected,0,5,0
